	ANY	DATA_APROVACIO	DESCRIPCIO	NOM_CURT	NOM_OFICIAL	NOM_P	SEXE_P
248	1961.0	15/04/1961	Joan Martorell i Montells (Barcelona, 1833 - 1906). Mestre d'obres i arquitecte de la primera promoció de l'Escola de Barcelona, titulat el 1876. Entre les seves obres, destaquen: el convent de les Adoratrius, el convent de les Saleses, el monument a Joan Güell, la Societat de Crèdit Mercantil, situada al carrer Ample, i el col·legi dels jesuïtes a Sarrià.	August Font	Carrer d'August Font	Joan	M
249	1902.0	01/08/1902	Josep Mas i Dordal (? - Barcelona, 1808). Mestre d'obres i arquitecte del gremi de mestres de cases, picapedrers i molers de Barcelona. Fou mestre de cases i fonts de la ciutat des del 1758. És autor de la façana de l'església de la Mercè; del Palau Moja, a la Rambla; de l'església actual de Sant Vicenç de Sarrià, i del Palau Episcopal de Barcelona.	Arquit Martorell	Carrer de l'Arquitecte Martorell	Josep	M
278	1917.0	08/02/1917	Antoni Aulèstia i Pijoan (Reus, 1849 - Barcelona, 1908). Escriptor i historiador. Autor d'Història de Catalunya.	Via Augusta	Via Augusta	Antoni	M
280	1863.0	25/10/1863	Ausiàs March o Ausies March (Gandia, vers el 1397 - València, 1459). Poeta. Cant espiritual es considera una de les obres cabdals de la poesia catalana. La seva poesia tingué una important repercussió en la lírica castellana dels segles XVI i XVII.	Aurora	Carrer de l'Aurora	Ausiàs	i
285	1927.0	18/05/1927	Juan Manuel Durán y González (Jerez de la Frontera, 1899 - Barcelona, 1926). Aviador. Realitzà el vol transatlàntic Sevilla-Buenos Aires en set etapes, del 22 de gener de 1926 al 10 de febrer de 1926, en l'avió Plus Ultra.	Aviació	Carrer de l'Aviació	Juan	M
286	1927.0	18/05/1927	Ramón Franco Bahamonde (Ferrol, 1896 - mar Mediterrània, prop de les illes Balears, 1938). Aviador del Plus Ultra.	Aviador Durán	Carrer de l'Aviador Durán	Ramón	M
287	1927.0	18/05/1927	Julio Ruiz de Alda y Miguélez (Estella, 1897 - Madrid, 1936). Militar, polític i aviador del Plus Ultra.	Aviador Franco	Carrer de l'Aviador Franco	Julio	M
288	1982.0	03/09/1982	Ignacio Jiménez Martín de la Plaza (Àvila, 1898 - Madrid, 1959) i Francisco Iglesias Brague (Ferrol, 1900 - Madrid, 1973). Aviadors que feren el primer vol transoceànic, el 1929, a bord de l'avió batejat amb el nom de Jesús del Gran Poder.	Aviador Ruiz Alda	Carrer de l'Aviador Ruiz de Alda	Ignacio	M
296	1984.0	14/12/1984	Ramón Otero Pedrayo (Ourense, 1888 - 1976). Escriptor i polític. Conreà la novel·la, el teatre i la poesia. Membre de la generació que creà la prosa gallega moderna. Catedràtic de geografia de la Universitat de Santiago.	Açores	Carrer de les Açores	Ramón	M
301	1931.0	04/02/1931	Francesc Macià i Ambert (Roda de Ter, ? - Vic, 1713). Polític i guerriller conegut amb el nom de Bac de Roda. Prengué part en la Guerra de Successió i fou un dels dirigents militars i polítics més populars de la guerra contra Felip V de Castella.	Pl Bacardí	Plaça de Bacardí	Francesc	M
314	1907.0	05/09/1907	Josep A. Balcells i Camps (Castellar del Vallès, 1777 - Barcelona, 1857). Químic i farmacèutic. Catedràtic de física i química del Col·legi de Sant Victorià de Barcelona. Aconseguí la tinció del cotó amb roig d'Adrianòpolis, tècnica que fins aquell moment només coneixien els turcs. Publicà nombrosos treballs científics i fou membre de diverses institucions.	Balboa	Carrer de Balboa	Josep	M
315	1982.0	28/07/1982	Baldiri Reixac i Carbó (Bell-lloc d'Aro, 1703 - Ollers, 1781). Pedagog. Prevere i rector de Sant Martí d'Ollers. Defensor de la llengua catalana, considerava que l'educació havia de començar en la llengua materna i no en llatí.	Balcells	Carrer de Balcells	Baldiri	i
319	1907.0	05/09/1907	Francesc Baliarda i Ribó (1813 - 1850). Veí de Sant Andreu conegut com el Noi. Capdavanter en la lluita contra les quintes. Morí en aquest carrer.	Balenyà	Carrer de Balenyà	Francesc	M
322	1863.0	19/12/1863	Jaume Llucià Balmes i Urpià (Vic, 1810 - 1848). Eclesiàstic, filòsof, polític i escriptor. Fundà una escola apologètica catalana.	Balira	Carrer de Balira	Jaume	M
326	1950.0	27/07/1950	Baltasar Gracián y Morales (Belmonte de Calatayud, 1601 - Tarassona, 1658). Escriptor i jesuïta. La seva obra va ser una influència per als autors castellans.	Basses Sant Pere	Carrer de les Basses de Sant Pere	Baltasar	M
327	1984.0	27/01/1984	Baltasar Samper i Marquès (Palma de Mallorca, 1888 - Mèxic, 1966). Músic i compositor. Deixeble d'Enric Granados i de Felip Pedrell. El 1939 s'exilià a Mèxic i es dedicà a l'ensenyament. Dirigí l'Orfeó Català.	Baltasar Gracián	Carrer de Baltasar Gracián	Baltasar	M
329	1980.0	10/10/1980	Josep Pau Ballot i Torres (Barcelona, 1747 - 1821). Gramàtic i pedagog. Prevere, defensor de la llengua catalana i autor de la primera gramàtica moderna impresa al Principat.	Baluard	Carrer del Baluard	Josep	M
330	1907.0	05/09/1907	Joan Ballester i Ayguals d'Izco (Vinaròs, 1835 - Barcelona, 1868). Pintor i escenògraf.	Ballot	Carrer de Ballot	Joan	M
337	1945.0	29/05/1945	Caseria del municipi de Lles (Baixa Cerdanya). Carrer situat al grup de cases Milans del Bosch, al barri del Bon Pastor, on diversos carrers són dedicats a poblacions catalanes.	Via Bàrcino	Via de Bàrcino	Caseria	i
340	1939.0	07/03/1939	Joan Miquel Griñó i Fargas, Piñol de Porta i Sagristà (Lleida, 1883 - Madrid, 1964). Economista. Impulsor de la Vil·la de Salut de l'Aliança i regidor de l'Ajuntament (1929).	Baró d'Esponellà	Carrer del Baró d'Esponellà	Joan	M
344	1931.0	04/02/1931	Joaquim M. Bartrina i d'Aixemús (Reus, 1850 - Barcelona, 1880). Escriptor i poeta. Col·laborà en diaris locals i dirigí un elenc de teatre amateur. En els Jocs Florals de 1876 guanyà un premi amb el poema «Epístola».	Barra de Ferro	Carrer de la Barra de Ferro	Joaquim	M
349	1959.0	28/01/1959	Amàlia Batet i Gil (Rubí, 1853 - Barcelona, 1921). Propietària fins a l'any 1921.	Bassella	Carrer de Bassella	Amàlia	F
356	1942.0	07/07/1942	Pere Almató i Ribera (Sant Feliu Sasserra, 1830 - Hai Duong, 1861). Màrtir. Dominicà de l'orde dels predicadors, en què ingressà per consell de sant Antoni Maria Claret. Fou ordenat a Manila i missioner a Tonquín, on morí decapitat. El 1988 Joan Pau II el canonitzà.	Colònia Bausili	Carrer de la Colònia Bausili	Pere	M
357	1979.0	20/12/1979	Miquel Baixeras i Ribas (Barcelona, 1741 - 1810). Caputxí i predicador popular.	Beates	Carrer de les Beates	Miquel	M
360	1994.0	19/07/1994	Josep Vicenç Foix i Mas (Barcelona, 1893 - 1987). Poeta, periodista i assagista. Fou membre de l'Institut d'Estudis Catalans. Entre d'altres, obtingué el Premi d'Honor de les Lletres Catalanes i les medalles d'or de la Ciutat de Barcelona i de la Generalitat. Féu servir el pseudònim Fòcius.	Pare Miquel Sarrià	Carrer del Pare Miquel de Sarrià	Josep	M
361	1959.0	29/04/1959	Ludwig van Beethoven Kehwerich (Bonn, 1770 - Viena, 1827). Compositor. Promogué la transformació de la música occidental i n'esdevingué un dels compositors més representatius.	Beat Simó	Carrer del Beat Simó	Ludwig	M
375	1946.0	26/06/1946	Coexisteixen dues explicacions sobre l'origen. Segons el nomenclàtor de 1980, es dedicà el carrer a Giovanni Battista Benedetti (Venècia, 1530 - Torí, 1590). Físic i matemàtic. Seguidor de Copèrnic. Influí sobre Galileu Galilei a la cort del duc de Savoia. Això no obstant, entre 1940 i 1957, període en què s'aprovà el nom del carrer, n'era propietari Emili Benedetti i Benedetto (Richterswil, 1889 - Barcelona, 1971), a qui originàriament es dedicà el carrer.	Bellprat	Carrer de Bellprat	Coexisteixen	i
376	1927.0	18/05/1927	Giacomo della Chiesa Migliorati (Gènova, 1854 - Roma, 1922). Papa (1914 - 1922). Va tenir una actuació destacada a favor de la pau i dels drets humans durant la Primera Guerra Mundial.	Bellver	Carrer de Bellver	Giacomo	M
377	1944.0	11/07/1944	Pere Benet Mateu (? - Barcelona, 1497). Herborista. Apotecari de Barcelona.	Benavent	Carrer de Benavent	Pere	M
379	1922.0	29/03/1922	Benet Mercadé i Fàbrega (la Bisbal d'Empordà, 1821 - Barcelona, 1897). Pintor. La seva pintura eclèctica i realista es caracteritzà per la sobrietat. Se centrà en escenes històriques i religioses.	Pl Benet XV	Plaça de Benet XV	Benet	M
380	1961.0	15/04/1961	Marià Benlliure i Gil (el Grau, 1862 - Madrid, 1947). Escultor. Autor d'un gran nombre de monuments de la ciutat de València. Fou membre de l'Acadèmia de San Fernando.	Benet Mateu	Carrer de Benet Mateu	Marià	i
381	1922.0	04/10/1922	Ramon Berenguer III, anomenat el Gran (Rodés, 1082 - Barcelona, 1131). Comte de Barcelona des del 1096.	Benevent	Carrer de Benevent	Ramon	M
383	1929.0	19/11/1929	Berenguer de Palou (Palou, ? - Barcelona, 1241). Conseller reial, canceller de la Corona i bisbe de Barcelona (1212). Participà en la conquesta de Mallorca.	Benlliure	Carrer de Benlliure	Berenguer	i
384	1980.0	12/06/1980	Ramon Berenguer I, anomenat el Vell (vers el 1023 - Barcelona, 1076). Comte de Barcelona des del 1035.	Pl Berenguer Gran	Plaça de Ramon Berenguer el Gran	Ramon	M
387	1907.0	05/09/1907	Guillem de Berguedà (segle XII). Trobador. Aventurer i autor prolífic d'importants peces que descriuen la vida en el món medieval. Era el fill gran i l'hereu del vescomte de Berga, Guillem.	R Berenguer Vell	Carrer de Ramon Berenguer el Vell	Guillem	M
388	1907.0	05/09/1907	Antoni Bergnes de las Casas (Barcelona, 1801 - 1879). Hel·lenista, editor i rector de la Universitat de Barcelona.	Beret	Carrer de Beret	Antoni	M
391	1960.0	27/07/1960	Bartolomé de Cárdenas o Bermejo (Còrdova, ? - vers el 1498). Pintor. Mestre de la pintura hispana medieval amb un estil influenciat per l'escola flamenca.	Bergnes Casas	Carrer de Bergnes de las Casas	Bartolomé	M
395	1960.0	27/07/1960	Bernat Martorell (Sant Celoni, segle XIV - Barcelona, 1452). Pintor. S'establí a Barcelona el 1433. Es considera una de les màximes figures del gòtic internacional a Catalunya.	Berna	Carrer de Berna	Bernat	M
396	1960.0	27/07/1960	Bernat Desclot (segle XIII). Cronista. Autor de la crònica Llibre del rei En Pere d'Aragó e dels seus antecessors passats, coneguda a través d'un manuscrit. Possible identificació amb Bernat Escrivà (segle XIII), un ciutadà de Barcelona.	Ptge B Martorell	Passatge de Bernardí Martorell	Bernat	M
397	1980.0	10/10/1980	Bernat Fenollar (Penàguila, 1438 - València, 1516). Eclesiàstic i poeta. Domer i sotsobrer (1467) de la catedral de València.	Bernat Bransi	Carrer de Bernat Bransi	Bernat	M
398	1960.0	27/07/1960	Bernat Metge (Barcelona, 1340/1346 - 1413). Escriptor. Fou notari i funcionari de la cancelleria de la reina Elionor. El 1390 ascendí a la categoria de secretari reial de Joan I.	Bernat Martorell	Carrer de Bernat Martorell	Bernat	M
399	1959.0	28/01/1959	Pedro Berruguete (Paredes de Nava, 1450 - 1503). Pintor. Personalitat destacada de la pintura espanyola de la segona meitat del segle XV. Rebé influències de la pintura flamenca i del Renaixement del segle XIV. Alonso Berruguete (Paredes de Nava, 1490 - Toledo, 1561). Escultor i pintor.	Bernat Desclot	Carrer de Bernat Desclot	Pedro	M
400	1879.0	23/04/1879	Josep Bertran i Ros (Barcelona, 1795 - 1855). Alcalde de Barcelona (1843), president de l'Audiència (1844) i rector de la Universitat de Barcelona (1853). Heretà del seu oncle Francesc Tomàs Ros i Buscà els terrenys del Putxet. En morir, passaren a mans del seu fill, Felip Bertran i Amat (Barcelona, 1835 - 1911). Jurisconsult i historiador. Casat amb Elisa Musitu. En aquella època es coneixia el barri pel nom de Bertran i a finals del segle XIX s'havien urbanitzat, en les terres de la propietat, els carrers de Bertran i d'Elisa. A continuació heretà els terrenys el seu fill, Josep Bertran i Musitu (Montpeller, 1875 - Barcelona 1957). Advocat i destacat polític. Casat amb Maria Cristina Güell i López.	Ptge B Fenollar	Passatge de Bernat Fenollar	Josep	M
401	1953.0	30/12/1953	Eusebi Bertrand i Serra (Barcelona, 1877 - 1945). Industrial tèxtil cotoner i polític. La seva empresa fou una de les més importants de Catalunya. Era fill de Manuel Bertrand i Sales (1848 - 1911).	Bernat Metge	Carrer de Bernat Metge	Eusebi	i
405	1929.0	19/11/1929	Jean IV de Béthencourt (Caux, 1360 - Grainville-la-Teinturière, 1425). Cavaller i camarlenc del rei Carles VI. L'any 1402 partí a conquerir les illes Canàries. Enric III de Castella li atorgà el títol de rei de Canàries i senyor de Lanzarote (1418 - 1425).	Besalú	Carrer de Besalú	Jean	M
425	1922.0	29/03/1922	Josep M. Bocabella i Verdaguer (Barcelona, 1815 - 1892). Llibreter. Impulsà la iniciació del temple de la Sagrada Família. Fundà l'Associació Espiritual de Devots de Sant Josep.	Blesa	Carrer de Blesa	Josep	M
426	1908.0	17/03/1908	L'Ajuntament, l'any 1908, volgué honorar la família d'arxivers i historiadors oriünda de Reus. En foren membres destacats: Antoni de Bofarull i de Brocà (Reus, 1821 - Barcelona, 1892). Historiador, poeta, novel·lista i dramaturg. Manuel de Bofarull i de Sartorio (Barcelona, 1816 - 1892). Arxiver i historiador. Pròsper de Bofarull i Mascaró (Reus, 1777 - Barcelona, 1859). Arxiver i historiador.	Boada	Carrer de Boada	L'Ajuntament,	i
431	1907.0	05/09/1907	Simón Bolívar Palacios (Caracas, 1783 - San Pedro Alejandrino, 1830). Militar i polític anomenat el Libertador. Viatjà a Europa i residí a Madrid, a París i a Roma. En tornar a Veneçuela, el 1810, organitzà amb els patriotes independentistes el moviment d'alliberació de Veneçuela i de la resta de pobles de l'Amèrica del Sud.	Ptge Bofill	Passatge de Bofill	Simón	M
437	1927.0	09/08/1927	Salvador Bonaplata i Curriol (Barcelona, 1780 -1855). Fabricant i terratinent de l'indret. El succeí el seu fill Ramon Bonaplata i Nadal. En el nomenclàtor de 1980 es dedicà a Josep Bonaplata (Sallent, ? - Barcelona, 1839). Industrial que instal·là la fàbrica El Vapor, la primera que utilitzà el vapor a Catalunya i a la resta de la península Ibèrica.	Bonaire	Carrer del Bonaire	Salvador	M
439	1942.0	07/07/1942	Isidre Bonsoms i Sicart (Barcelona, 1849 - Valldemossa, 1922). Bibliòfil. Cervantista; llegà la seva col·lecció d'obres sobre Cervantes a l'Institut d'Estudis Catalans. Ingressà a l'Acadèmia de Bones Lletres el 1907.	Pl Bonanova	Plaça de la Bonanova	Isidre	i
449	1939.0	16/05/1939	Antoni Bori i Fontestà (Badalona, 1861 - 1912). Escriptor i mestre. La seva poesia, patriòtica i costumista, assolí una gran popularitat. Obtingué nombrosos premis	Bordils	Carrer de Bordils	Antoni	M
457	1943.0	20/07/1943	Ròmul Bosch i Alsina (Calella, 1852 - Barcelona, 1923). Polític i navilier. Diputat, senador i alcalde de Barcelona (1905). Fou un dels fundadors de la companyia Pinillos de navegación i de Crèdit i Docks. President de la Junta d'Obres del Port de Barcelona (1900), la qual n'inicià les obres d'ampliació i modernització.	Pl Borràs	Plaça de Borràs	Ròmul	i
458	1922.0	29/03/1922	Pere Bosch i Labrús (Besalú, 1827 - Barcelona, 1894). Advocat i comerciant. Partidari del proteccionisme econòmic català.	Ptge Borrell	Passatge de Borrell	Pere	M
468	1907.0	05/09/1907	Manuel Bretón de los Herreros (Logronyo, 1795 - Madrid, 1873). Escriptor, poeta i crític teatral. Acadèmic de la llengua des de 1837. Director de la Gaceta (1843), i de la Biblioteca Nacional (1847).	Bragança	Carrer de Bragança	Manuel	M
470	1955.0	31/10/1955	Eulàlia Briquets i Ventura (Parets del Vallès, 1886 - Barcelona, 1963). Propietària dels terrenys. Muller de Josep Llovera i Sampons, comerciant de l'Hospitalet.	Breda	Carrer de Breda	Eulàlia	F
471	1929.0	19/11/1929	Francesc Pelagi Briz i Fernández (Barcelona, 1839 - 1889). Escriptor romàntic, editor i folklorista. Visqué en aquest indret.	Bretón Herreros	Carrer de Bretón de los Herreros	Francesc	M
478	1945.0	29/05/1945	Poble del municipi de Ribes de Freser (Ripollès). Carrer situat al grup de cases Ramon Albó, al Turó de la Peira, on diversos carrers són dedicats a poblacions de la província de Girona.	Brosolí	Carrer del Brosolí	Poble	i
480	1907.0	05/09/1907	Esteve Gilabert Bruniquer i Riera (Granollers, 1561 - Barcelona, 1641). Notari públic i síndic de la ciutat de Barcelona.	Pl Brugada	Plaça de Brugada	Esteve	M
483	1992.0	28/11/1992	Gabriel Ferrater i Soler (Reus, 1922 - Sant Cugat del Vallès, 1972). Escriptor i lingüista. Es dedicà a escriure poesia i a traduir.	Bruniquer	Carrer de Bruniquer	Gabriel	M
485	1932.0	30/09/1932	Buenaventura Muñoz y Rodríguez (Toledo, 1853 - ?). Magistrat i polític. President de l'Audiència de Barcelona.	Brusi	Carrer de Brusi	Buenaventura	M
